Lead ID	Business	Country	Area	Industry	Offer	Priority	Stage	Business phone	Business email	Website	Website status	Google rating	Google reviews	Source URL	Google profile	Business social	Observed signal	Proposed solution	Formation or launch evidence	Checked on	Contact evidence	Owner	First contact	Last contact	Next follow-up	Reply or outcome	Budget	Currency	Do not contact	Notes	Next action
SYN-61B88AFA	AD GESTION	France	Paris and Île-de-France	Property services	AI automation	Research	Not contacted	01 89 54 65 28	contact@ad-gestion.fr	https://www.ad-gestion.fr/	Live company website			https://www.ad-gestion.fr/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-94F03359	Tamery Gestion Immobilière	France	Paris	Property services	AI automation	Research	Not contacted	06 51 21 47 33	contact@tamery-gestion-immobiliere.fr	https://www.tamery-gestion-immobiliere.fr/	Live company website			https://www.tamery-gestion-immobiliere.fr/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-8D515072	Brew’s Immo	France	Paris 20	Property services	AI automation	Research	Not contacted	01 88 33 80 32	spicard@brews.fr	https://www.brews.fr/	Live company website			https://www.brews.fr/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-BEA37745	HouseHunting Utrecht	Netherlands	Utrecht	Property services	AI automation	Research	Not contacted	06 81 03 62 80	utrecht@househunting.nl	https://househunting.nl/	Live company website			https://househunting.nl/contact-househunting-utrecht/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-02B6BBE9	Rotsvast Utrecht	Netherlands	Utrecht	Property services	AI automation	Research	Not contacted	030-2144346	utrecht@rotsvast.nl	https://www.rotsvast.nl/	Live company website			https://www.rotsvast.nl/vestigingen/utrecht/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-45E693D2	365Beheer	Netherlands	Utrecht	Property services	AI automation	Discovery	Not contacted	088-123 5000	info@365beheer.nl	https://365beheer.nl/	Live company website			https://365beheer.nl/en/property-management-in-utrecht/			Describes technical complaints, maintenance coordination and tenant support.	Route maintenance requests, draft status updates and prepare owner reports.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-53463A25	Ustad Vastgoedbeheer & Onderhoud	Netherlands	Utrecht	Property services	AI automation	Research	Not contacted	030 - 7858063	info@ustadbeheer.nl	https://ustadbeheer.nl/	Live company website			https://ustadbeheer.nl/contact/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-E4D0AD0B	Schaeppi Grundstücke AG	Switzerland	Zürich	Property services	AI automation	Research	Not contacted	'+41 44 456 56 56		https://www.schaeppi.ch/	Live company website			https://www.schaeppi.ch/de/kontakt/zuerich.html			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							CHF	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-D1AC2854	immo-zürich	Switzerland	Zürich	Property services	AI automation	Research	Not contacted	044 221 22 33	info@immo-zuerich.ch	https://immo-zuerich.ch/	Live company website			https://immo-zuerich.ch/kontakt/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							CHF	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-D024023A	Lille Oslo Eiendom	Norway	Oslo	Property services	AI automation	Discovery	Not contacted		drift@loeiendom.no	https://lille-oslo-eiendom.no/	Live company website			https://lille-oslo-eiendom.no/kontakt/			Publishes separate operations and invoice email addresses.	Assess invoice intake and routing of operational enquiries.	Not verified	2026-09-08	Published on company website; deliverability not tested							NOK	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-AB0CA945	Oslo Takst og Eiendom	Norway	Oslo	Property services	AI automation	Research	Not contacted		Post@oslotakstogeiendom.no	https://oslotakstogeiendom.no/	Live company website			https://oslotakstogeiendom.no/kontakt/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							NOK	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-0C59213B	Nordberg Eiendomsforvaltning AS	Norway	Oslo	Property services	AI automation	Research	Not contacted	'+47 22 64 61 20	post@nordberg-eiendom.no	https://www.nordberg-eiendom.no/	Live company website			https://www.nordberg-eiendom.no/kontakt/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							NOK	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-4E599F98	Byggforvaltning	Norway	Oslo	Property services	AI automation	Research	Not contacted	22 13 52 20	firmapost@byggforvaltning.no	https://www.byggforvaltning.no/	Live company website			https://www.byggforvaltning.no/kontakt/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							NOK	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-3D8FD8B3	CEJ Ejendomsadministration	Denmark	Copenhagen	Property services	AI automation	Research	Not contacted	'+45 33 33 82 82	cej@cej.dk	https://cej.dk/	Live company website			https://cej.dk/en/contact/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							DKK	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-1109A601	ØENS	Denmark	Copenhagen	Property services	AI automation	Discovery	Not contacted	'+45 32 46 46 46	info@oadv.dk	https://oadv.dk/	Live company website			https://oadv.dk/kontakt-os/			Contact form routes enquiries by department and topic.	Assess enquiry classification and staff-approved response drafts.	Not verified	2026-09-08	Published on company website; deliverability not tested							DKK	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-0235CC55	NyC Ejendomsadministration ApS	Denmark	Copenhagen	Property services	AI automation	Research	Not contacted	(+45) 3322 3929	administration@ny-c.dk	https://ny-c.dk/	Live company website			https://ny-c.dk/kontakt/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							DKK	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-449BF298	Advokat & Ejendomsadministration	Denmark	Copenhagen	Property services	AI automation	Research	Not contacted	33 15 45 45	info@a-ea.dk	https://l-lc.dk/	Live company website			https://l-lc.dk/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							DKK	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-0420EC31	Oiva Isännöinti Helsinki	Finland	Helsinki	Property services	AI automation	Research	Not contacted	010 755 6043	asiakaspalvelu@oi.fi	https://oi.fi/	Live company website			https://oi.fi/toimipisteet/helsinki/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-0A50B375	OIT Isännöinti	Finland	Oulu and Helsinki	Property services	AI automation	Research	Not contacted	08 4152 5000	toimisto@oit.fi	https://oit.fi/	Live company website			https://oit.fi/yhteystiedot/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-908FF7CE	Kontu	Finland	Helsinki	Property services	AI automation	Research	Not contacted	010 739 8992	akseli.tasa@kontuoy.fi	https://kontuoy.fi/	Live company website			https://kontuoy.fi/isannointi-helsinki/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-D33578C9	IMV Immobilien Management	Austria	Vienna	Property services	AI automation	Research	Not contacted		office@imv.co.at	https://imv.co.at/	Live company website			https://imv.co.at/kontakt/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-43C823C4	Alfons Metzger Hausverwaltung	Austria	Vienna	Property services	AI automation	Research	Not contacted	01 597 00 20	office@amhv.at	https://amhv.at/	Live company website			https://amhv.at/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-A9789259	PMV Immobilien Management GmbH	Austria	Vienna	Property services	AI automation	Research	Not contacted	'+43/ 1 5458181	office@pmv.at	https://pmv.at/	Live company website			https://pmv.at/kontakt/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-040662E7	Hausverwaltung Obermeier	Austria	Vienna	Property services	AI automation	Research	Not contacted	'+43 1 2924648	office@obermeier.at	https://www.obermeier.at/	Live company website			https://www.obermeier.at/immobilienverwaltung-wien-kontakt			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-A1D1249D	Easy Syndic	Belgium	Brussels	Property services	AI automation	Research	Not contacted	'+ 32 2 219 04 51	info@easysyndic.be	https://easysyndic.be/	Live company website			https://easysyndic.be/contact/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-3D39C624	ASVEDEC	Belgium	Brussels	Property services	AI automation	Research	Not contacted	02/649 13 80		https://asvedec.be/	Live company website			https://asvedec.be/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-BADE6E34	Citya Belgium	Belgium	Brussels	Property services	AI automation	Research	Not contacted		info-woluwe@citya-belgium.be	https://citya.be/	Live company website			https://citya.be/syndic-de-copropriete			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-565167B1	Delagott	Sweden	Stockholm	Property services	AI automation	Research	Not contacted	073-318 28 00	mats.frosteman@delagott.se	https://www.delagott.se/	Live company website			https://www.delagott.se/fastighetsforvaltning-stockholm			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							SEK	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-CAE911CC	Einar Mattsson	Sweden	Stockholm	Property services	AI automation	Research	Not contacted	08 586 263 00	emma.beck-friis@einarmattsson.se	https://www.einarmattsson.se/	Live company website			https://www.einarmattsson.se/fastighetsforvaltning/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							SEK	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-EAA82336	Genimmo	Luxembourg	Luxembourg	Property services	AI automation	Research	Not contacted	(+352) 511 971 1	info@genimmo.lu	https://genimmo.lu/	Live company website			https://genimmo.lu/gestion-locative/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-5F3AEB81	D&D Immobilier	Luxembourg	Luxembourg	Property services	AI automation	Research	Not contacted		contact@ddgroup.lu	https://www.dd-gestion-locative.lu/	Live company website			https://www.dd-gestion-locative.lu/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-0A4AA70A	Administración Fincas Madrid	Spain	Madrid	Property services	AI automation	Research	Not contacted		info@administracionfincasmadrid.com	http://www.administracionfincasmadrid.com/	Live company website			http://www.administracionfincasmadrid.com/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-F0509BEE	Administraciones Atrisa	Spain	Madrid	Property services	AI automation	Research	Not contacted	913930837	info@fincasatrisa.es	https://fincasatrisa.es/	Live company website			https://fincasatrisa.es/contacto/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-0CFAFBAA	Admin Atocha	Spain	Madrid	Property services	AI automation	Research	Not contacted	917 769 949		https://www.adminatocha.es/	Live company website			https://www.adminatocha.es/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-45518C30	Studio Bassi	Italy	Milan	Property services	AI automation	Research	Not contacted	02 29405486	info@amministratorebassi.it	https://www.bassi-gestioni-immobiliari.it/	Live company website			https://www.bassi-gestioni-immobiliari.it/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-88711AED	Italia Amministrazioni	Italy	Milan	Property services	AI automation	Research	Not contacted	'+39 02 7000 4493	segreteria@italiamministrazioni.it	https://www.italiamministrazioni.it/	Live company website			https://www.italiamministrazioni.it/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-D6EACC29	Meu Condomínio	Portugal	Lisbon	Property services	AI automation	Research	Not contacted		geral@meucondominio.pt	https://www.meucondominio.pt/	Live company website			https://www.meucondominio.pt/contactos.html			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-7B7CD145	Lisboa em Ordem	Portugal	Lisbon	Property services	AI automation	Research	Not contacted		geral@gestao-condominios-lisboa.pt	https://gestao-condominios-lisboa.pt/	Live company website			https://gestao-condominios-lisboa.pt/			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							EUR	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-B0644CD7	Iron Bridge Real Estate	New Zealand	Auckland and North Shore	Property services	AI automation	Research	Not contacted	09 985 2820	property@ironbridge.co.nz	https://ironbridge.co.nz/	Live company website			https://ironbridge.co.nz/property-management-auckland-and-north-shore			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							NZD	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-A27E374F	ALTAN Estate	New Zealand	Auckland	Property services	AI automation	Research	Not contacted	'+64 20 4011 5236	contact@altanestate.com	https://altanestate.com/	Live company website			https://altanestate.com/get-in-touch			Company publishes property-services information and a public business contact; workflow gaps not verified.	Discovery: assess enquiry intake, document reminders and routine status reporting.	Not verified	2026-09-08	Published on company website; deliverability not tested							NZD	Not assessed	Automation fit is a hypothesis, not expressed buying intent. Existing systems may already handle the task.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-3454F0B1	Trust Recruit	Singapore	Singapore	Recruitment	AI automation	Discovery	Not contacted	(+65) 6228 4228	info@trustrecruit.com.sg	https://www.trustrecruit.com.sg/	Live company website			https://www.trustrecruit.com.sg/contact-us/			Recruitment company publishes employer and candidate contact channels.	Assess enquiry routing and interview scheduling; keep hiring decisions with people.	Not verified	2026-09-08	Published on company website; deliverability not tested							SGD	Not assessed	Displayed phone +65 6228 4228 differs from tel link +65 6317 8728. Use business email first. Automation need unconfirmed.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
SYN-4DE34C89	Michael Page Singapore	Singapore	Singapore	Recruitment	AI automation	Lower fit	Not contacted	'+65 6533 2777	enquirysingapore@michaelpage.com.sg	https://www.michaelpage.com.sg/	Live company website			https://www.michaelpage.com.sg/contact-us-raffles-place			Recruitment company has CV intake and public business enquiry email.	Assess existing enterprise systems before proposing scheduling or intake integrations.	Not verified	2026-09-08	Published on company website; deliverability not tested							SGD	Not assessed	Enterprise firm; likely established systems and procurement. Buying intent unconfirmed.	Confirm decision-maker, current tools, request volume, budget and whether any automation gap exists.
