Lead ID	Business	Country	Area	Industry	Offer	Priority	Stage	Business phone	Business email	Website	Website status	Google rating	Google reviews	Source URL	Google profile	Business social	Observed signal	Proposed solution	Formation or launch evidence	Checked on	Contact evidence	Owner	First contact	Last contact	Next follow-up	Reply or outcome	Budget	Currency	Do not contact	Notes	Next action
SYN-B0516127	Square Fit	Ireland	Old Blessington Road, , Dublin, Leinster		Website development	Research	Not contacted	(01) 451 1156			No website listed in directory; unverified			https://www.bizireland.com/square-fit_2q-01-451-1156		https://www.yelp.com/biz/square-fit-tallaght	Directory explicitly states no website listed; independent website check pending.	Service page, work examples and an enquiry or booking link.	Not verified	2026-09-08	Public directory; deliverability and current ownership unverified							EUR	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-9EF6FE0D	Cornernote	Ireland	1 Coliemore Rd, Dalkey Commons, Dalkey, Co. Dublin, A96 WC90, Ireland, , Dún Laoghaire, Leinster	Restaurants and mobile food service activities, Breakfast and brunch, Brunch Restaurant, Lunch Restaurant	Website development	Research	Not contacted	(01) 202 3922	baitatthecornernote@gmail.com		No website listed in directory; unverified			https://www.bizireland.com/cornernote-01-202-3922	https://www.google.com/maps/?cid=2011724897744404864	https://www.facebook.com/TheCornerNoteCafe	Directory explicitly states no website listed; independent website check pending. Historical domain present; verify before pitching.	Service page, work examples and an enquiry or booking link.	Directory founding date: 2011; registration unverified	2026-09-08	Public directory; deliverability and current ownership unverified							EUR	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-885B9A49	On-Site Blind & Drapery Cleaning	United States	Cashmere, WA 98815		Website development	Research	Not contacted	(509) 782-5326			No website listed in directory; unverified			https://www.allbiz.com/business/on-site-blind-drapery-cleaning_2f-509-782-5326		http://www.yelp.com/biz/on-site-blind-and-drapery-cleaning-cashmere	Directory explicitly states no website listed; independent website check pending.	Service page, work examples and an enquiry or booking link.	Directory founding date: 2010; registration unverified	2026-09-08	Public directory; deliverability and current ownership unverified							USD	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-6B3F16BB	Natural Touch Cleaning Service	United States	31345 600th St, , Millville, Minnesota, 55957	Janitorial Service, Cleaning Service	Website development	Research	Not contacted	(507) 250-2773			No website listed in directory; unverified			https://www.allbiz.com/business/natural-touch-cleaning-service-507-250-2773		https://www.facebook.com/179623759058586/	Directory explicitly states no website listed; independent website check pending. Historical domain present; verify before pitching.	Service page, work examples and an enquiry or booking link.	Directory founding date: 2007; registration unverified	2026-09-08	Public directory; deliverability and current ownership unverified							USD	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-997F7290	Yasir Cleaning Services	United States	1942 S 12th St, , Milwaukee, Wisconsin, 53204	Janitorial Service	Website development	Research	Not contacted	(414) 870-2253	yasircleaningservice@hotmail.com		No website listed in directory; unverified			https://www.allbiz.com/business/yasir-cleaning-services-414-870-2253		https://www.facebook.com/152368638304702/	Directory explicitly states no website listed; independent website check pending. Historical domain present; verify before pitching.	Service page, work examples and an enquiry or booking link.	Not verified	2026-09-08	Public directory; deliverability and current ownership unverified							USD	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-67613A6B	A Cash Gutter Cleaning & Animal	United States	95 Merselis Ave, Clifton, NJ 07011, USA	Gutter Cleaning Service	Website development	Research	Not contacted	(973) 357-2222	acashjr@live.com		No website listed in directory; unverified			https://www.allbiz.com/business/a-cash-gutter-cleaning-animal_1n-973-357-2222	https://www.google.com/maps/?cid=11784484639162858142	https://www.yelp.com/biz/a-cash-gutter-cleaning-and-animal-work-clifton	Directory explicitly states no website listed; independent website check pending. Historical domain present; verify before pitching.	Service page, work examples and an enquiry or booking link.	Directory founding date: 2010; registration unverified	2026-09-08	Public directory; deliverability and current ownership unverified							USD	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-76C498DE	Crow's Cleaning Connection	United States	93 N Tisdale Ave, Buffalo, WY 82834	House Cleaning Service	Website development	Research	Not contacted	(307) 684-2334	crowscleaningconnection@qwestoffice.net		No website listed in directory; unverified			https://www.allbiz.com/business/crows-cleaning-connection-307-684-2334		https://www.facebook.com/1589903771273700/	Directory explicitly states no website listed; independent website check pending. Historical domain present; verify before pitching.	Service page, work examples and an enquiry or booking link.	Directory founding date: 2011; registration unverified	2026-09-08	Public directory; deliverability and current ownership unverified							USD	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-26ABE9C8	GMRC Cleaning Services	United States	2624 Bismark Way, Sarasota, FL 34231, USA	Carpet and rug cleaning	Website development	Research	Not contacted	(941) 923-6220			No website listed in directory; unverified			https://www.allbiz.com/business/gmrc-cleaning-services-941-923-6220	https://www.google.com/maps/?cid=18381431343774242064	https://www.yelp.com/biz/gmrc-cleaning-service-sarasota	Directory explicitly states no website listed; independent website check pending.	Service page, work examples and an enquiry or booking link.	Directory founding date: 1986; registration unverified	2026-09-08	Public directory; deliverability and current ownership unverified							USD	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-4D54ED1B	Maid Perfect	United States	Jupiter, FL 33469, USA	House Cleaning Service, Cleaners, Janitorial Service	Website development	Research	Not contacted	(561) 744-6622			No website listed in directory; unverified			https://www.allbiz.com/business/maid-perfect_8D-561-744-6622		https://www.facebook.com/104543169612617/	Directory explicitly states no website listed; independent website check pending. Historical domain present; verify before pitching.	Service page, work examples and an enquiry or booking link.	Directory founding date: 1990; registration unverified	2026-09-08	Public directory; deliverability and current ownership unverified							USD	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-93BC483B	Renegade Jane's, LLC	United States	250 Silverview Lane, , Durango, Colorado, 81303	Janitorial Service	Website development	Research	Not contacted	(970) 382-1186	renegadejanes@gmail.com		No website listed in directory; unverified			https://www.allbiz.com/business/renegade-janes-llc-970-382-1186		https://www.facebook.com/1512363135650207/	Directory explicitly states no website listed; independent website check pending.	Service page, work examples and an enquiry or booking link.	Directory founding date: 7/27/13; registration unverified	2026-09-08	Public directory; deliverability and current ownership unverified							USD	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-6E6E7079	Crockett Business Services	Canada	8100 Rock Island Highway #109, Trail, BC V1R 4W1, Canada	Tax Preparation, Accountant	Website development	Review first	Not contacted	(778) 456-3535	brad.crockett@shaw.ca		No website link on live Google profile	5	2	https://www.allbiz.ca/crockett-business-services-778-456-3535	https://www.google.com/maps/?cid=474167794220526318	https://www.facebook.com/1743495302529814/	Live Google profile displays Add website; exact-name search found directories/social pages but did not establish an owned site.	Service page, work examples and an enquiry or booking link.	Not verified	2026-09-08	Phone checked on live Google profile; email from directory							CAD	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-27455060	Al's Incorporated	United States	1509 Richland Dr, Storm Lake, IA 50588	Trucking Company	Website development	Research	Not contacted	(712) 732-2922	cwt@ecarthage.com		No website listed in directory; unverified			https://www.allbiz.com/business/als-incorporated_3p-712-732-2922	https://www.google.com/maps/?cid=13018822254082051459	https://www.facebook.com/161364263887686/	Directory explicitly states no website listed; independent website check pending. Historical domain present; verify before pitching.	Service page, work examples and an enquiry or booking link.	Directory founding date: 1980; registration unverified	2026-09-08	Public directory; deliverability and current ownership unverified							USD	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-C6D7A359	Bargate Services Ltd	Canada	2491 Kingsway, Vancouver, BC V5R 5G8, Canada	Accounting Firm	Website development	Review first	Not contacted	(604) 438-1611			No website link on live Google profile	4.4	10	https://www.allbiz.ca/bargate-services-ltd_2M-604-438-1611	https://www.google.com/maps/?cid=7564292097461327161	https://www.yelp.com/biz/bargate-services-vancouver	Live Google profile displays Add website; exact-name search found directories/social pages but did not establish an owned site.	Service page, work examples and an enquiry or booking link.	Directory founding date: 1993; registration unverified	2026-09-08	Phone checked on live Google profile; email from directory							CAD	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-784DF915	All Japanese Auto Parts	United States	2218 E 92nd St, Los Angeles, CA 90002	Auto Parts Store	Website development	Research	Not contacted	(323) 564-7900			No website listed in directory; unverified			https://www.allbiz.com/business/all-japanese-auto-parts_4W-323-564-7900	https://www.google.com/maps/?cid=17063339457649689658	https://www.facebook.com/105811872863126/	Directory explicitly states no website listed; independent website check pending. Historical domain present; verify before pitching.	Service page, work examples and an enquiry or booking link.	Directory founding date: 1992; registration unverified	2026-09-08	Public directory; deliverability and current ownership unverified							USD	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-E773D626	The Morgan	Canada	438 Richmond St W, Toronto, ON M5V 3S6, Canada	Apartment Building	Website development	Research	Not contacted	(416) 203-0256	themorgan@bellnet.ca		No website listed in directory; unverified			https://www.allbiz.ca/the-morgan-416-203-0256	https://www.google.com/maps/?cid=5965533866660836910		Directory explicitly states no website listed; independent website check pending. Historical domain present; verify before pitching.	Service page, work examples and an enquiry or booking link.	Not verified	2026-09-08	Public directory; deliverability and current ownership unverified							CAD	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-4784A07D	Rt Enterprises	United States	5637 McHenry Ave, Modesto, CA 95356	Property Management Company	Website development	Research	Not contacted	(209) 523-3344			No website listed in directory; unverified			https://www.allbiz.com/business/rt-enterprises_210-209-523-3344	https://www.google.com/maps/?cid=1112680784241681930	https://www.facebook.com/161864873842693/	Directory explicitly states no website listed; independent website check pending. Historical domain present; verify before pitching.	Service page, work examples and an enquiry or booking link.	Directory founding date: 1985; registration unverified	2026-09-08	Public directory; deliverability and current ownership unverified							USD	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search reviewed; owned website not conclusively established. Similar-name results may refer to other businesses. Multiple similarly named businesses have websites; match Modesto address and phone before contact.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-00A3E437	J L Seaquist & Co	United States	2758 Main St, Riverside, CA 92501	Machine Shop	Website development	Research	Not contacted	(951) 684-2114			No website listed in directory; unverified			https://www.allbiz.com/business/j-l-seaquist-co-951-684-2114	https://www.google.com/maps/?cid=16108252422526669855	https://www.yelp.com/biz/jl-seaquist-and-company-riverside	Directory explicitly states no website listed; independent website check pending. Historical domain present; verify before pitching.	Service page, work examples and an enquiry or booking link.	Directory founding date: 1959; registration unverified	2026-09-08	Public directory; deliverability and current ownership unverified							USD	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search returned no usable evidence; independent website verification remains required.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-80170685	De Vaney Business Services	United States	1050 N Carpenter Rd i, Modesto, CA 95351	Tax Preparation Service	Website development	Research	Not contacted	(209) 524-4345	admin@devaneybusiness.net		No website listed in directory; unverified			https://www.allbiz.com/business/de-vaney-business-services_2B-209-524-4345	https://www.google.com/maps/?cid=12731672972270346248	https://www.facebook.com/142274755819309/	Directory explicitly states no website listed; independent website check pending. Historical domain present; verify before pitching.	Service page, work examples and an enquiry or booking link.	Directory founding date: 1982; registration unverified	2026-09-08	Public directory; deliverability and current ownership unverified							USD	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search returned no usable evidence; independent website verification remains required.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-8F82AF87	Amory Nails-Art	Singapore	180 Bencoolen St, #01-65, Singapore 189646	Nail salon	Website development	Review first	Not contacted	'+65 9455 6984		https://wa.me/message/TQ2UKNBM3MCDF1	Google website field links to WhatsApp	5	76	https://findsalon.sg/salon/amory-nails-art	https://www.google.com/maps/place/?q=place_id:ChIJoVEh7r4P2jERlGNs-FdeTRI		Live Google profile links to WhatsApp instead of an owned website; directory website claim is stale.	Service page, work examples and an enquiry or booking link.	Not verified	2026-09-08	Phone checked on live Google profile							SGD	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search returned no usable evidence; independent website verification remains required.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-C263DE29	Abbie Nails Beauty	Singapore	No 3 New Bugis Street #CSLD17/D18, Level2, 188867	Beauty salon	Website development	Research	Not contacted	'+6593396619			No website listed in directory; unverified			https://findsalon.sg/salon/abbie-nails-beauty	https://www.google.com/maps/place/Abbie+Nails+Beauty/@1.3001707999999998,103.8546296,1323m/data=!3m1!1e3!4m8!3m7!1s0x31da1983aaaded4b:0x1856a2126c1f747!8m2!3d1.3001707999999998!4d103.8546296!9m1!1b1!16s%2Fg%2F1td476p6?hl=en&entry=ttu		Directory explicitly states no website listed; independent check pending. Directory itself labels listing unverified.	Service page, work examples and an enquiry or booking link.	Not verified	2026-09-08	Public directory; deliverability and current ownership unverified							SGD	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search returned no usable evidence; independent website verification remains required.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-86C21AE6	Al Glamour House	Singapore	3 New Bugis St, #03-89/101 & 102, Singapore 188867	Beauty salon	Website development	Research	Not contacted	'+6586219859			No website listed in directory; unverified			https://findsalon.sg/salon/al-glamour-house	https://www.google.com/maps/place/Al+Glamour+House/@1.3009115999999998,103.8548232,1323m/data=!3m1!1e3!4m8!3m7!1s0x31da1900590180ff:0x6ba52b98f612cff!8m2!3d1.3009115999999998!4d103.8548232!9m1!1b1!16s%2Fg%2F1td476p6?hl=en&entry=ttu		Directory explicitly states no website listed; independent check pending. Directory itself labels listing unverified.	Service page, work examples and an enquiry or booking link.	Not verified	2026-09-08	Public directory; deliverability and current ownership unverified							SGD	Not assessed	Business demand, budget and decision-maker not confirmed. Exact-name search returned no usable evidence; independent website verification remains required.	Verify operating status and exact-name website search; confirm need and contact preference.
SYN-4D0FEAE8	Nice Noodle	Singapore	138 Robinson Rd, #01-08, Singapore 068906	Restaurant	Website development	Review first	Not contacted				No website link on live Google profile	4.9	35	https://hungrygowhere.com/what-to-eat/new-openings-2026/	https://www.google.com/maps/place/Nice+Noodle/data=!4m7!3m6!1s0x31da193d6765d857:0x5eb79a986ffe5760!8m2!3d1.2788458!4d103.8484234!16s%2Fg%2F11nv14sqd9!19sChIJV9hlZz0Z2jERYFf-b5iat14	https://www.instagram.com/nicenoodle.sg/	Google profile displays Add website. August 2026 local opening guide identifies Nice Noodle as a new restaurant.	Service page, work examples and an enquiry or booking link.	New opening reported August 2026; legal incorporation date not verified	2026-09-08	Business Instagram linked by opening guide; no public phone or email obtained							SGD	Not assessed	Use business Instagram for initial business enquiry if appropriate. Budget and buying intent unknown. Exact-name search returned no usable evidence; independent website verification remains required.	Verify operating status and exact-name website search; confirm need and contact preference.
